year,growth,revenue,margin,ebit,tax,nopat,reinvestment,fcff,coc,discount_factor,pv_fcff
1,0.34,9450.484,0.1474,1393.0013416000002,0.19,1128.3310866960003,1598.5893333333333,-470.25824663733306,0.1056675919514584,0.9044309585261883,-425.3161167610478
2,0.25,11813.105,0.1588,1875.9210739999999,0.19666666666666666,1506.9899294466666,1575.080666666666,-68.09073721999948,0.10404342544997025,0.8191987178018593,-55.77984462480691
3,0.2,14175.725999999999,0.17020000000000002,2412.7085652,0.20333333333333334,1922.124490276,1575.080666666666,347.0438236093339,0.10241925894848208,0.7430918057284609,257.8854215527694
4,0.16,16443.842159999997,0.1816,2986.2017362559995,0.21,2359.09937164224,1512.0774399999984,847.0219316422415,0.10079509244699393,0.6750500713776053,571.7822154134923
5,0.13,18581.541640799995,0.193,3586.237536674399,0.21666666666666667,2809.2194037282793,1425.1329871999988,1384.0864165282806,0.09917092594550576,0.6141447662445473,850.0294287410139
6,0.11332,20687.20193953545,0.2044,4228.464076441046,0.22333333333333333,3284.1070993692124,1403.7735324903042,1880.3335668789082,0.0975467594440176,0.5595613680784348,1052.162023126565
7,0.09664,22686.413134972157,0.2158,4895.727954526991,0.23,3769.710524985783,1332.807463624471,2436.903061361312,0.09592259294252944,0.5105847545090061,1244.245551347411
8,0.07996,24500.41872924453,0.2272,5566.495135284358,0.23666666666666666,4249.091286600394,1209.3370628482492,3039.7542237521448,0.09429842644104128,0.4665863919493769,1418.3079556733921
9,0.06328,26050.805226431126,0.23859999999999998,6215.722127026466,0.24333333333333335,4703.229742783359,1033.5909981243967,3669.6387446589624,0.09267425993955312,0.42701325459537093,1566.984383546095
10,0.0466,27264.772749982818,0.25,6816.1931874957045,0.25,5112.144890621778,809.3116823677943,4302.833208253984,0.09105009343806496,0.39137823016887074,1684.0352457582883
