year,growth,revenue,margin,ebit,tax,nopat,reinvestment,fcff,coc,discount_factor,pv_fcff
1,0.864,5578.3928,0.1585,884.1752587999999,0.16,742.707217392,1723.7951999999998,-981.0879826079998,0.10645450000000001,0.9037877291836222,-886.6952799306251
2,0.45,8088.669559999999,0.172,1391.2511643199998,0.16999999999999998,1154.7384663855998,1673.5178399999998,-518.7793736143999,0.104974,0.8179266925589401,-424.3234972282248
3,0.3,10515.270428,0.1855,1950.582664394,0.18,1599.47778480308,1617.7339120000004,-18.25612719692026,0.1034935,0.741215686869873,-13.53172785984902
4,0.22,12828.62992216,0.199,2552.89735450984,0.19,2067.8468571529706,1542.2396627733335,525.6071943796371,0.102013,0.6726015817144381,353.52423030023203
5,0.16,14881.2107097056,0.21250000000000002,3162.25727581244,0.2,2529.8058206499522,1368.3871916970663,1161.418628952886,0.1005325,0.6111601263156137,709.8127559761526
6,0.13732,16924.69856436237,0.226,3824.981875545896,0.21,3021.735681681258,1362.325236437847,1659.410445243411,0.099052,0.5560793541302993,922.7638886280283
7,0.11463999999999999,18864.946007780873,0.2395,4518.154568863519,0.21999999999999997,3524.160563713545,1293.498295612335,2230.66226810121,0.0975715,0.5066452200428849,1130.1543756634983
8,0.09196,20599.766442656404,0.253,5211.740909992071,0.23,4013.0405006938945,1156.5469565836877,2856.493544110207,0.09609100000000001,0.4622291580196215,1320.3546057825456
9,0.06928,22026.91826180364,0.2665,5870.173716770671,0.24,4461.3320247457095,951.4345460981567,3509.897478647553,0.0946105,0.42227729226023464,1482.1500033943132
10,0.0466,23053.37265280369,0.28,6454.944342785034,0.25,4841.208257088775,684.3029273333668,4156.905329755408,0.09313,0.3863010733034814,1605.8169905054765
